FullName,MSCode
AZURE ACTIVE DIRECTORY PREMIUM P2,AAD_PREMIUM_P2
AZURE INFORMATION PROTECTION PLAN 1,RIGHTSMANAGEMENT
DYNAMICS 365 CUSTOMER ENGAGEMENT PLAN ENTERPRISE EDITION,DYN365_ENTERPRISE_PLAN1
DYNAMICS 365 FOR CUSTOMER SERVICE ENTERPRISE EDITION,DYN365_ENTERPRISE_CUSTOMER_SERVICE
DYNAMICS 365 FOR FINANCIALS BUSINESS EDITION,DYN365_FINANCIALS_BUSINESS_SKU
DYNAMICS 365 FOR SALES AND CUSTOMER SERVICE ENTERPRISE EDITION,DYN365_ENTERPRISE_SALES_CUSTOMERSERVICE
DYNAMICS 365 FOR SALES ENTERPRISE EDITION,DYN365_ENTERPRISE_SALES
DYNAMICS 365 FOR TEAM MEMBERS ENTERPRISE EDITION,DYN365_ENTERPRISE_TEAM_MEMBERS
DYNAMICS 365 UNF OPS PLAN ENT EDITION,Dynamics_365_for_Operations
ENTERPRISE MOBILITY + SECURITY E3,EMS
ENTERPRISE MOBILITY + SECURITY E5,EMSPREMIUM
EXCHANGE ONLINE (PLAN 1),EXCHANGESTANDARD
EXCHANGE ONLINE (PLAN 2),EXCHANGEENTERPRISE
EXCHANGE ONLINE ARCHIVING FOR EXCHANGE ONLINE,EXCHANGEARCHIVE_ADDON
EXCHANGE ONLINE ARCHIVING FOR EXCHANGE SERVER,EXCHANGEARCHIVE
EXCHANGE ONLINE ESSENTIALS,EXCHANGEESSENTIALS
EXCHANGE ONLINE ESSENTIALS,EXCHANGE_S_ESSENTIALS
EXCHANGE ONLINE KIOSK,EXCHANGEDESKLESS
EXCHANGE ONLINE POP,EXCHANGETELCO
INTUNE,INTUNE_A
MICROSOFT 365 BUSINESS,SPB
MICROSOFT 365 E3,SPE_E3
Microsoft 365 E5,SPE_E5
Microsoft 365 E3_USGOV_DOD,SPE_E3_USGOV_DOD
Microsoft 365 E3_USGOV_GCCHIGH,SPE_E3_USGOV_GCCHIGH
Microsoft 365 F1,SPE_F1
MICROSOFT DYNAMICS CRM ONLINE BASIC,CRMPLAN2
MICROSOFT DYNAMICS CRM ONLINE,CRMSTANDARD
MS IMAGINE ACADEMY,IT_ACADEMY_AD
OFFICE 365 BUSINESS,O365_BUSINESS
OFFICE 365 BUSINESS,SMB_BUSINESS
OFFICE 365 BUSINESS ESSENTIALS,O365_BUSINESS_ESSENTIALS
OFFICE 365 BUSINESS ESSENTIALS,SMB_BUSINESS_ESSENTIALS
OFFICE 365 BUSINESS PREMIUM,O365_BUSINESS_PREMIUM
OFFICE 365 BUSINESS PREMIUM,SMB_BUSINESS_PREMIUM
OFFICE 365 ENTERPRISE E1,STANDARDPACK
OFFICE 365 ENTERPRISE E2,STANDARDWOFFPACK
OFFICE 365 ENTERPRISE E3,ENTERPRISEPACK
OFFICE 365 ENTERPRISE E3 DEVELOPER,DEVELOPERPACK
Office 365 E3_USGOV_DOD,ENTERPRISEPACK_USGOV_DOD
Office 365 E3_USGOV_GCCHIGH,ENTERPRISEPACK_USGOV_GCCHIGH
OFFICE 365 ENTERPRISE E4,ENTERPRISEWITHSCAL
OFFICE 365 ENTERPRISE E5,ENTERPRISEPREMIUM
OFFICE 365 ENTERPRISE E5 WITHOUT AUDIO CONFERENCING,ENTERPRISEPREMIUM_NOPSTNCONF
OFFICE 365 F1,DESKLESSPACK
OFFICE 365 MIDSIZE BUSINESS,MIDSIZEPACK
OFFICE 365 PROPLUS,OFFICESUBSCRIPTION
OFFICE 365 SMALL BUSINESS,LITEPACK
OFFICE 365 SMALL BUSINESS PREMIUM,LITEPACK_P2
ONEDRIVE FOR BUSINESS (PLAN 1),WACONEDRIVESTANDARD
ONEDRIVE FOR BUSINESS (PLAN 2),WACONEDRIVEENTERPRISE
POWER BI FOR OFFICE 365 ADD-ON,POWER_BI_ADDON
POWER BI PRO,POWER_BI_PRO
PROJECT FOR OFFICE 365,PROJECTCLIENT
PROJECT ONLINE ESSENTIALS,PROJECTESSENTIALS
PROJECT ONLINE PREMIUM,PROJECTPREMIUM
PROJECT ONLINE PREMIUM WITHOUT PROJECT CLIENT,PROJECTONLINE_PLAN_1
PROJECT ONLINE PROFESSIONAL,PROJECTPROFESSIONAL
PROJECT ONLINE WITH PROJECT FOR OFFICE 365,PROJECTONLINE_PLAN_2
SHAREPOINT ONLINE (PLAN 1),SHAREPOINTSTANDARD
SHAREPOINT ONLINE (PLAN 2),SHAREPOINTENTERPRISE
SKYPE FOR BUSINESS CLOUD PBX,MCOEV
SKYPE FOR BUSINESS ONLINE (PLAN 1),MCOIMP
SKYPE FOR BUSINESS ONLINE (PLAN 2),MCOSTANDARD
SKYPE FOR BUSINESS PSTN DOMESTIC AND INTERNATIONAL CALLING,MCOPSTN2
SKYPE FOR BUSINESS PSTN DOMESTIC CALLING,MCOPSTN1
SKYPE FOR BUSINESS PSTN DOMESTIC CALLING (120 Minutes),MCOPSTN5
VISIO ONLINE PLAN 1,VISIOONLINE_PLAN1
VISIO Online Plan 2,VISIOCLIENT
WINDOWS 10 ENTERPRISE E3,WIN10_PRO_ENT_SUB
Windows 10 Enterprise E5,WIN10_VDA_E5
